Dio	i:1:131	i:2:91	i:2:103	i:3:39	i:3:63	i:3:103	i:3:108	i:3:122	i:4:38	i:7:19	i:8:60	i:11:26	i:11:31	i:11:51	i:11:74	i:11:84	i:11:105	i:12:119	i:14:16	i:14:70	i:19:2	i:20:19	i:24:119	i:25:3	i:25:14	pu:2:29	pu:2:123	pu:3:126	pu:4:129	pu:5:56	pu:5:104	pu:6:42	pu:6:93	pu:7:5	pu:8:12	pu:8:66	pu:9:104	pu:10:108	pu:11:71	pu:11:90	pu:13:122	pu:13:124	pu:13:146	pu:14:79	pu:16:18	pu:16:40	pu:16:123	pu:16:141	pu:19:76	pu:19:92	pu:19:113	pu:21:13	pu:21:20	pu:22:66	pu:23:58	pu:23:81	pu:23:91	pu:27:6	pu:27:24	pu:28:125	pu:30:142	pu:33:36	pu:33:44	pu:33:59	pu:33:71	pa:1:105	pa:2:29	pa:2:42	pa:4:45	pa:5:19	pa:5:27	pa:5:28	pa:6:4	pa:6:23	pa:6:111	pa:7:30	pa:7:47	pa:7:56	pa:7:91	pa:7:103	pa:7:115	pa:7:119	pa:8:90	pa:9:62	pa:9:73	pa:10:56	pa:10:140	pa:12:17	pa:12:132	pa:13:33	pa:14:89	pa:16:143	pa:17:33	pa:18:4	pa:20:110	pa:20:122	pa:20:134	pa:21:92	pa:21:114	pa:22:80	pa:22:83	pa:22:95	pa:23:114	pa:23:137	pa:24:4	pa:24:113	pa:24:130	pa:25:11	pa:25:63	pa:25:90	pa:26:48	pa:26:56	pa:26:109	pa:27:57	pa:27:105	pa:28:128	pa:29:21	pa:29:77	pa:30:97	pa:30:122	pa:30:145	pa:31:107	pa:32:93	pa:32:113	pa:33:40
Dite	i:8:68	i:11:65	i:12:39	i:34:20
Doagio	pu:20:46
Dolcin	i:28:55
Domenico	pa:10:95	pa:12:70
Dominazioni	pa:28:122
Domine	pu:23:11	pu:30:83
Domizian	pu:22:83
Donato	pa:12:137
Donne ch'avete intelletto d'amore	pu:24:51
Draghignazzo	i:21:121	i:22:73
Duera	i:32:116
Durazzo	pa:6:65
Dïascoride	i:4:140
Dïogenès	i:4:137
Dïomede	i:26:56
Dïone	pa:8:7	pa:22:144
Dïonisio	i:12:107	pa:28:130
Ebree	pa:32:17
Ebrei	pu:4:83	pu:24:124	pa:5:49
Ebro	pa:9:89
Ecuba	i:30:16
Efigènia	pa:5:70
Egidio	pa:11:83
Egina	i:29:59
Egitto	pa:25:55
El	pa:26:136
Elena	i:5:64
Elesponto	pu:28:71
Eletra	i:4:121
Elia	i:26:35	pu:32:80
Elice	pu:25:131	pa:31:32
Elicona	pu:29:40
Eliseo	pa:15:136
Eliso	pa:15:27
Elsa	pu:33:67
Elì	pu:23:74
Elïodoro	pu:20:113
Elïòs	pa:14:96
Ema	pa:16:143
Empedoclès	i:4:138
Enea	i:4:122
Enëa	i:2:32	i:26:93
Epicuro	i:10:14
Equatore	pu:4:80
Era	pa:6:59
Eraclito	i:4:138
Ercule	i:25:32	i:26:108	i:31:132
Erine	i:9:45
Erisittone	pu:23:26
Eritón	i:9:23
Ermo	pu:5:96
Esaù	pa:8:130
Esti	pu:5:77
Estèr	pu:17:29
Eteòcle	i:26:54
Etica	i:11:80
Ettore	pa:6:68
Ettòr	i:4:122
Etïopia	i:24:89
Etïopo	pu:26:21
Etïòpe	pa:19:109
Euclide	i:4:142
Eurialo	i:1:108
Euripide	pu:22:106
Euripilo	i:20:112
Euro	pa:8:69
Europa	pu:8:123	pa:6:5	pa:12:48	pa:27:84
Eva	pu:8:99	pu:12:71	pu:24:116	pu:29:24
Evangelio	pa:9:133	pa:24:137	pa:29:114
Ezechïel	pu:29:100
Eünoè	pu:28:131	pu:33:127
Fabbro	pu:14:100
Fabi	pa:6:47
Fabrizio	pu:20:25
Faenza	i:32:123	pu:14:101
Falterona	pu:14:17
Famagosta	pa:19:146
Fano	i:28:76	pu:5:71
Farfarello	i:21:123	i:22:94
Farinata	i:6:79	i:10:32
Farisei	i:23:116	i:27:85
Farsalia	pa:6:65
Federico	i:10:119
Federigo	i:13:59	i:23:66	pu:7:119	pu:16:117	pa:20:63
Federigo Novello	pu:6:17
Federigo Tignoso	pu:14:106
Fegghine	pa:16:50
Felice	pa:12:79
Feltro	pa:9:52
Fetonte	i:17:107	pa:31:125
Fetòn	pu:4:72
Fiamminghi	i:15:4
Fiesole	i:15:62	pa:15:126	pa:16:122
Fifanti	pa:16:104
Figlio	pa:27:1
Figliuol di Dio	pa:27:24
Filippeschi	pu:6:107
Filippi	pu:20:50	pa:16:89
Filippo Argenti	i:8:61
Fiorentin	i:17:70
Fiorentini	pa:16:86
Fiorenza	i:10:92	i:16:75	i:24:144	i:26:1	i:32:120	pu:6:127	pu:20:75	pa:15:97	pa:16:84	pa:16:111	pa:16:146	pa:16:149	pa:17:48	pa:29:103	pa:31:39
Fisica	i:11:101
Flegetonta	i:14:116	i:14:131
Flegra	i:14:58
Flegïàs	i:8:19	i:8:24
Focaccia	i:32:63
Focara	i:28:89
Folco	pa:9:94
Folo	i:12:72
Fonte Branda	i:30:78
Forese	pu:23:48	pu:23:76	pu:24:74
Forlì	i:16:99	pu:24:32
Fortuna	i:15:93	i:15:95	pa:16:84
Fotin	i:11:9
Francesca	i:5:116
Franceschi	i:27:44	i:32:115
Francesco	i:27:112	pa:11:74	pa:22:90	pa:32:35
Francesco d'Accorso	i:15:110
Francia	i:19:87	pu:7:109	pu:20:51	pu:20:71	pa:15:120
Franco Bolognese	pu:11:83
Frati godenti	i:23:103
Frison	i:31:64
Fïalte	i:31:94	i:31:108
Gabrïel	pa:4:47
Gabrïello	pa:9:138
Gaddo	i:33:68
